CAPITAL MARKETS:	FIXED INCOME SECURITIES-###-0.2774334205498315---SECURITIES REGULATION-###-0.3676808120598405---FINANCIAL DERIVATIVES-###-0.25412987751142063---
FASHION & IMAGE IN THE AFRICAN DIASPORA:	Culture and Identity of the Lusophone World-###-0.28718855716664066---TOPICS IN ROMANTICISM: WORDSWORTH AND COLERIDGE-###-0.31571357284594026---TOPICS FILM STUDIES: DOCUMENTARY CINEMA-###-0.3659929218477113---Gender, Sexuality and Identity-Contemporary Caribbean Cultural Production-###-0.30969453662272173---IMMIGRANT URBAN LABOR IN THE U.S.-###-0.31934957782444484---Critical Debates in Global Human Rights-###-0.4073146230469373---HUMAN RIGHTS IN THE AGE OF REVOLUTIONS-###-0.9999999999999999---TPCS 19TH-C AMERICAN LIT-###-0.3044910301832041---20-21ST CENTURY FRENCH NOVEL-###-0.2752936292496476---TPCS 19TH-CENT NOVEL: THE BRONTE SISTERS-###-0.2956642688767662---TOPICS LITERARY THEORY: GLOBAL FEMINISMS-###-0.3744256169335988---TOPICS - ROMANCE: PULP FICTIONS:  POPULAR ROMANCE FROM CHAUCER TO TARANTINO-###-0.28074965712089484---Telling It All: Women as Storytellers in Hispanic Fiction-###-0.30969453662272173---SEMINAR DEVELOP PSYCH: Psychology of Imagination-###-0.7546777811614644---LITERATURE AND DICTATORSHIP IN LATIN AMERICA-###-0.30969453662272173---TPCS 18TH-CENTURY NOVEL: BRITISH EPISTOLARY FICT-###-0.2815203728809366---TOPICS IN US HISTORY: EARLY AMERICAN STUDIES-###-0.27486747725189337---GROUNDBREAKING POETS, TRADITIONAL FORMS-###-0.3130347988234332---GLOBAL HEALTH-###-0.36016908153520716---LITERATURE AND EVERYDAY LIFE IN COLONIAL SPANISH AMERICA-###-0.30969453662272173---GABRIEL GARCIA MARQUEZ AND 20TH-CENTURY LATIN AMERICAN LITERATURE-###-0.30969453662272173---TPCS 18TH-C BRITISH LIT: BEAST CULTURE-###-0.30013528912941995---LITERATURE AND ART IN AFRICA AND THE AFRICAN DIASPORA-###-0.27372570520330175---Neuroscience of Human Motivation and Behavior-###-0.7546777811614644---CROSSING BORDERS IN LATIN AMERICAN CINEMA-###-0.30969453662272173---Sexuality, Terrorism, and Human Rights-###-0.4073146230469373---TOPICS CULTURAL STUDIES: CONTEMP EUROPEAN CINEMA-###-0.38418713833944695---Architecture of Latin American Identities-###-0.30969453662272173---Narratives of Contact: Global Perspectives in Medieval Literature-###-0.28074965712089484---21st Century Latin American Literature-###-0.30969453662272173---TOPICS: FRESHMAN SEMINAR: ITALIAN FOOD CULTURE IN ART, CINEMA AND LITERATURE-###-0.2919784069513647---SEMINAR ABNORMAL PSYCH-###-0.7546777811614644---TOPICS IN ASIAN AM HIST: Asian Americans and Public History/Memory-###-0.31934957782444484---MEXICO: REVOLUTION AND CULTURE-###-0.30969453662272173---Modern and Contemporary Spanish Literature: Penn in Madrid-###-0.30969453662272173---TOPICS LAW & LITERATURE: PRISON LIT. IN THE U. S.-###-0.35955763377965183---TOPICS POETRY & POETICS: POETRY & THE ENVIRONMENT-###-0.30853288617890456---PIRATES, SINNERS, AND CASTAWAYS:  LITERATURE FROM THE OTHER ATLANTIC-###-0.3044910301832041---SOCIOLOGY OF GLOBAL HEALTH-###-0.36016908153520716---Race, Gender, and Medicine in U.S. History-###-0.27486747725189337---TOPICS 18TH-CENT NOVEL: PAMELA CRAZE-###-0.2815203728809366---SUFISM AND RESISTANCE: Lit in Translation-Sufism and Resistance-###-0.38765489277121595---NO BENCH BY THE ROAD:  MONUMENTS, MEMORY AND THE AFTERLIFE OF SLAVERY-###-0.3218616889566975---CONTEMPORARY SPANISH CINEMA-###-0.30969453662272173---TOPICS: ITALIAN CULTURE: Love in Italian Literature-###-0.2752936292496476---SEMINAR ABNORMAL PSYCH: GENDER AND PSYCHOPATHOLO-###-0.7546777811614644---WOMEN IN ITALIAN LITERATURE & CINEMA-###-0.2919784069513647---TOPICS OLD ENGLISH: KING ARTHUR:  MEDIEVAL TO MODERN-###-0.2771180719383546---AMERICAN POETRY POST 1975-###-0.3130347988234332---URBANIZATION AND ITS DISCONTENTS-###-0.9999999999999999---CONTAGION-###-0.3514719618419428---Love in Italian Literature-###-0.2752936292496476---WAR & CONQUEST IN MEDIEVAL EUROPE-###-0.9999999999999999---ASIAN AMERICAN COMMUNITIES & POPULAR CULTURE-###-0.31934957782444484---TOPICS 19TH-C LITERATURE: DISTRACTION-###-0.3174560349466152---THE ROAD TO RED POWER: EXAMINING NATIVE NORTH AMERICAN HISTORY-###-0.27486747725189337---To Whom It May Concern: Literary Letters in Latin America-###-0.30969453662272173---MLA Proseminar: Looking for Don Quixote-###-0.30969453662272173---Fictions of Exceptionality in 20th-Century Latin American Literature-###-0.30969453662272173---Anxiety disorders, OCD, and PTSD-###-0.7546777811614644---CONTEMP BRAZILIAN CINEMA-###-0.28718855716664066---EARLY AMERICAN STUDIES-###-0.27486747725189337---TOPICS 20TH-C LITERATURE: ANIMAL TALES-###-0.3256077114940501---TPCS THEORIES GENDER/SEX: GLOBAL FEMINISM-###-0.34071216050572073---THE LITERATURE & HISTORIOGRAPHY OF NATIONAL TRAUMA:  PARTITION & SOUTH ASIA-###-0.3244565273874331---TPCS 20TH-C AMERICAN LIT: THE POLITICS OF THE GIFT-###-0.31166190863312754---SEMINAR ABNORMAL PSYCH:  Mental Illness and the Media-###-0.7546777811614644---EDUCATIONAL INEQUALITY-###-0.49855444603229165---MODERNITY, COLONIALISM, AND RACE:  VIEWS FROM THE GLOBAL SOUTH-###-0.3744256169335988---TOPICS - THE NOVEL: LIT & PHOTOGRAPHY (NOW)-###-0.27964199010076857---FILM, TELEVISION, AND TRANSATLANTIC SCREEN CULTURE-###-0.38418713833944695---SEMINAR ABNORMAL PSYCH: Current Controversies in Clinical Psychology-###-0.7546777811614644---Latin American Literature and Pop(ular) Culture-###-0.30969453662272173---THE CITY OF ROME: FROM CONSTANTINE TO THE BORGIAS-###-0.9999999999999999---TOPICS 20TH-C LITERATURE: REPRESENTATIONS OF THE HOLOCAUST-###-0.3256077114940501---Iraq and Syria from World War I to ISIS-###-0.9999999999999999---MAKING NATIONS/BREAKING NATIONS:  PARTITION AND SOUTH ASIA-###-0.3244565273874331---DON QUIJOTE: DON QUIJOTE THEN & NOW-###-0.30969453662272173---Between Fact and Fiction: Chronicle in Lt America from Span Conquest-21st C-###-0.30969453662272173---CRITICAL APPRECIATION-###-0.38765489277121595---MIGRATION AND REFUGEES IN AFRICA-###-0.9999999999999999---THE SECRET CIRCLE: CRIME & CONSPIRACY FICTIONS IN CONTEMP LT AM LITERATURE-###-0.30969453662272173---TOPICS CULTURAL STUDIES: SOCIAL NETWORKS-###-0.38418713833944695---CAPITALISM AND HUMANITARIANISM-###-0.9999999999999999---SEM EGYPT ARCHAEOL& HIST-###-0.7833486777206808---Gabriel Garcia Marquez and Latin American Literature-###-0.30969453662272173---TOPICS LAW & LITERATURE: COPYRIGHT AND CULTURE-###-0.35955763377965183---LATIN AMERICAN FILM-###-0.30969453662272173---TOPICS POETRY & POETICS: MODERNIST AMER POETRY-###-0.30853288617890456---TPCS 19TH-C AMERICAN LIT: REWRITING AMERICAN CLASS-###-0.3044910301832041---TOPICS IN LUSOPHONE CULTURE - SOCIETY AND VISUAL ARTS-###-0.28718855716664066---CYBORGS, ROBOTS, AND GADGETS: TECHNOLOGIES IN CONTEMPORARY HISPANIC CINEMA-###-0.30969453662272173---LOOKING OUT:  U.S. LITERATURE AND THE GLOBAL NINETEENTH-CENTURY-###-0.3449786689564547---SEMINAR IN SOCIAL PSYCH: PSYCHOLOGY AND RELIGION-###-0.7546777811614644---19TH-CENTURY AMERICAN LITERATURE:  LITERARY RADICALS-###-0.3044910301832041---TOPICS - THE NOVEL: NOVEL AND ROMANCE-###-0.27964199010076857---TOPICS FILM STUDIES: PSYCHOANALYSIS/LIT/FILM-###-0.3659929218477113---Race, Science & Society-###-0.49855444603229165---TPCS 20TH-C AMERICAN LIT: POLITICS OF FRIENDSHIP-###-0.31166190863312754---DON QUIXOTE NOW AND THEN-###-0.30969453662272173---GOVERNING THE WORLD: HIST OF INTERNATIONAL ORGANIZATIONS 1870S-PRESENT-###-0.9999999999999999---(HI)STORIES: THE CONTEMPORARY ITALIAN NOVEL-###-0.2752936292496476---TPCS 19TH-C AMERICAN LIT: MELVILLE/STOWE/DOUGLASS-###-0.3044910301832041---TOPICS FILM STUDIES: CINEMA AND POLITICS-###-0.3659929218477113---Food in Latin American History and Culture-###-0.30969453662272173---TOPICS IN BRAZILIAN CULT: CONTEMPORARY BRAZILIAN CINEMA: SOCIETY AND REALITY EFFECTS-###-0.28718855716664066---ADAPTATIONS: FROM PAPER TO SCREEN-###-0.2919784069513647---CONFLICT, LAW AND JUSTICE IN EARLY AMERICA: CROSS-CULTURAL APPROACHES-###-0.27486747725189337---HISTORY, MEMORY, AND NOSTALGIA IN MODERN EUROPE-###-0.9999999999999999---GOD AND NATURE-###-0.9999999999999999---REVOLUTION OF THE WORD:  MODERNIST AMERICAN POETRY AND POETICS (1900-1945)-###-0.30853288617890456---SPORT, POLITICS AND LITERATURE IN ITALIAN CULTURE AND BEYOND-###-0.2752936292496476---TPCS: SPAN/LTAM CINEMA: LATIN AMERICAN FILM-###-0.30969453662272173---BODY AND SOUL:  HISPANIC PERSPECTIVES ON HEALTH, ILLNESS, AND HEALTHCARE-###-0.30969453662272173---VOICES OF THE MIDDLE EAST: HISTORY THROUGH LITERATURE-###-0.9999999999999999---BAD KIDS: MISFITS AND MAYHEM IN LITERATURE AND FILM-###-0.3256077114940501---CONTEMPORARY COLOMBIAN LITERATURE:  A HISTORY OF VIOLENCE AND REDEMPTION-###-0.30969453662272173---TPCS: 20TH-CENT AMER LIT: THE COLORS OF LITERATURE, FROM POE TO COMICS-###-0.31166190863312754---WOMEN IN THE MIDDLE EAST: A MODERN HISTORY-###-0.9999999999999999---THERE WILL BE BLOOD: REPRESENTATION OF THE CONQUISTADOR IN LATIN AMERICA-###-0.30969453662272173---LAW AND SOCIAL CHANGE-###-0.27486747725189337---Reading Old Spanish: Language in Context-###-0.30969453662272173---TOPICS FILM STUDIES: CULTURE & PSYCHOANALYSIS-###-0.3659929218477113---CLOISTER, CASTLE AND COURT: MEDIEVAL IBERIAN LITERATURE & ARCHITECTURE-###-0.30969453662272173---Don Quijote Then and Now-###-0.30969453662272173---TOPICS DRAMA TO 1660: INTRO TO SHAKESPEARE-###-0.26974491123902056---WOMEN, CINEMA AND SOCIETY IN FRANCE SINCE 1944-###-0.26851648846723497---SEMINAR IN SOCIAL PSYCH: PSYCHOLOGY AND LAW-###-0.7546777811614644---PURITANS TO RELIGIOUS RIGHT: RELIGION AND POLITICS IN AMERICAN HISTORY-###-0.27486747725189337---SEMINAR IN COG NEUROSCI-###-0.7546777811614644---AMERICAN LITERARY RADICALS OF THE 19TH CENTURY-###-0.3044910301832041---FROM PAPER TO SCREEN: CINEMATIC ADAPTATIONS-###-0.2919784069513647---MURDERING THE PAST:  SPANISH POST-FRANCO NARRATIVE BY WOMEN-###-0.30969453662272173---Art & Ideology-Medieval & Early Modrn Iberia: Jews,Christians,Gypsies,Moors-###-0.30969453662272173---PARALLEL HISTORIES: PSYCHOANALYSIS AND FILM-###-0.38418713833944695---TOPICS 17TH-CENTURY LIT: MILTON-###-0.2827456443558319---Gangs & Organized Crime-###-0.2939430996921642---REL&COL RULE IN AFRICA-###-0.9999999999999999---SPANISH THEATER:  TEXT AND REPRESENTATION-###-0.30969453662272173---GERMAN CENTURY:1890-1990-###-0.9999999999999999---DON QUIJOTE THEN AND NOW-###-0.30969453662272173---MEXICAN CINEMA-###-0.30969453662272173---The Country, the City and the Borderland in Contemporary Latin American Lit-###-0.30969453662272173---FLORENCE IN HISTORY-###-0.9999999999999999---TPCS THEORIES GENDER/SEX: THINKING SEX-###-0.34071216050572073---TOPICS LATINA/O LIT: RACE, SPACE, AND WRITING-###-0.27025363228666804---TOPICS IN US HISTORY: JAPANESE/AMER INTERNMENT-###-0.9999999999999999---STORIES WE TELL: LATIN AMERICA AND THE SHORT STORY-###-0.30969453662272173---Reality and Appearance in Golden Age Spain-###-0.30969453662272173---POLITICS:  RHETORIC AND POWER IN ITALIAN CULTURE AND BEYOND-###-0.2919784069513647---TOPICS FILM STUDIES: ENVIRONMENTAL MEDIA-###-0.3659929218477113---Food in Italian Culture: From Court Banquets to Food Trucks-###-0.2752936292496476---TOPICS IN ASIAN AMER LIT: ASIAN AMERICAN PROFESSIONALS-###-0.31934957782444484---SUFISM IN URDU POETRY-###-0.38765489277121595---The City: Literary and Visual Tradition-###-0.2752936292496476---TPCS 18TH-C BRITISH LIT: CHINA IN THE ENGLISH IMAGINATION-###-0.30013528912941995---GROUNDBREAKING POETS AND TRADITIONAL FORMS-###-0.3130347988234332---TOPICS RACE & ETHNICITY: 20TH-C SOUTHERN WRITERS-###-0.3218616889566975---TOPICS LITERARY THEORY: MARX AND MARXISMS-###-0.3744256169335988---
WAR AND REPRESENTATION:  WAR, TRAUMA AND REPRESENTATION IN LITERATURE:	WORLD WAR I-###-0.2604749583605271---SCIENCE TECHNOLOGY & WAR-###-0.25620226633394677---SCIENCE TECHNOLGY & WAR-###-0.25620226633394677---ARCHAEOLOGY OF AMERICAN HISTORY- THE NATIONAL PERIOD-###-0.25859600829250706---
SCREENWRITING WORKSHOP:	
IMMIGRATION, RELIGION AND ETHNICITY IN U.S. HISTORY:	
ADVANCED PERSIAN I:	
CHAUCER: CHAUCER AND BOCCACCIO:	THE AGE OF CHAUCER: MEDIEVAL POETRY AND MODERN PERFORMANCE-###-0.2599568552402986---
URBAN LAW:	
19TH-CENT NOVEL: SERIES AND SERIALS:	
ANTHROPOLOGY AND CINEMA:	
TPCS AFRICAN-AMER LIT: 21ST-CENTURY AFRICAN AMERICAN LITERATURE:	WHAT IS AFRICAN-AMERICAN LITERATURE?-###-0.2648563687017558---Intro to African American Literature-###-0.2648563687017558---WOMANIFESTO-###-0.2648563687017558---AFRICAN-AMERICAN LIT-###-0.2648563687017558---
BIOENGINEERING SYSTEMS:	
SINNERS, SEX AND SLAVES: RACE AND SEX IN EARLY AMERICA:	
SENIOR PROJECT I:	
ROMANCE LANG-ELEM I: ELEMENTARY QUECHUA I:	
MASTER'S THESIS RESEARCH:	
INTERMEDIATE ITALIAN I:	ADVANCED ITALIAN I-###-0.3326351108275234---ELEMENTARY ITALIAN I-###-0.32633575564398437---CULTURE OF THE COURTS: The Culture of the Courts-###-0.2858551803664473---INTERMEDIATE ITALIAN II-###-0.8872758817008061---INTERMED ITAL: ACCLLRATD-###-0.7838589385003601---INTERMEDIATE FRENCH II-###-0.5794617127011494---ADVANCED ITALIAN II-###-0.3452181740618973---BUSINESS ITALIAN I-###-0.29747145959955795---INTERMEDIATE FRENCH I-###-0.6094021250552293---
CALCULUS IV:	MATHEMAT METHODS OF PHYS-###-0.2856869762017784---ANALYTICAL METH FOR ENG-###-0.2595335948756439---MATH FOR MATLS SCIENCE-###-0.3968659049920612---PARTIAL DIFFER EQUATIONS-###-0.37423806060441234---PARTIAL DIFFERENTIAL EQUATIONS-###-0.37423806060441234---TOPICS IN COMP SCI&ENG: Data-driven Modeling and Probabilistic Scientific Computing-###-0.27470680172101003---TOPICS IN COMP SCI&ENG-###-0.27470680172101003---
MATH FOUND COMP SCI:	
ELEMENTARY DUTCH II:	
NURSING OF OLDER ADULTS:	NURSING OF YOUNG AND MIDDLE AGED ADULTS-###-0.43564579839402146---PC CLINICAL PRACTIUM:DIAGNOSIS AND MANAGEMENT OF ADULTS ACROSS THE LIFESPAN-###-0.32734762392574834---PROFESSIONAL ROLE & CLINICAL PRACTICUM FOR PRIMARY CARE PREPARED PROVIDERS-###-0.28105629918426683---PSYCHIATRIC NURSING-###-0.37819341249955163---ADVANCED PRACTICE NURSING PRACTICE: PSYCHIATRIC MENTAL HEALTH NP I-###-0.25815794441165896---MENTAL HEALTH & AGING-###-0.2983408129935461---CLIN PRAC: FAMILY FOCUSED PRIMARY CARE OF THE MIDDLE AGED AND OLDER ADULT-###-0.2811626183592841---PRINCIPLES OF ADULT GERONTOLOGY ACUTE CARE I-###-0.2561903973081715---PRIMARY CARE: DIAGNOSIS AND MANAGEMENT OF ADULTS ACROSS THE LIFESPAN-###-0.3445076189517075---AGACNP:PRF ROLE CLN PRAC: PROFESSIONAL ROLE & CLINICAL PRACTICUM FOR PRIMARY CARE PREPARED PROVIDERS-###-0.28105629918426683---FAM FOC PC MID AGE/OLDER: FAMILY FOCUSED PRIMARY CARE OF THE MIDDLE-AGED AND OLDER ADULT-###-0.4079228375379707---CL PRAC:FAM FOC PC ADULT-###-0.2811626183592841---FAMILY FOCUSED PRIMARY CARE OF THE MIDDLE-AGED AND OLDER ADULT-###-0.4079228375379707---NURSING IN THE COMMUNITY-###-0.3194103438171164---PEDIATRIC NURSING-###-0.3980071543537086---HEALTH CARE IN AN AGING SOCIETY-###-0.4884793620364447---ADULT GERONTOLOGY ACUTE CARE NP:PROFESSIONAL ROLE AND CLINICAL PRACTICUM II-###-0.3551074646424187---
Great Books of Greece and Rome:	
EXPERIMENTAL PHYS CHEM I:	GEN CHEM LAB I-###-0.27802198058264593---LECTURE-###-0.27802198058264593---
READING THE 20TH CENTURY:	
GENDER & TECH KNOWLEDGE: Gender and Technical Knowledge:	
PUBLIC SPACE,PUBLIC LIFE:	
Dark Deeds: Crime and Detection Novels:	
PUBLIC ENVIRONMENTAL HUMANITIES:	ENVIRONMENTAL HUMANITIES-###-0.30746019188575446---Environmental Humanities: Theory, Method, Practice-###-0.30746019188575446---
RENAISSANCE-CONTEMPORARY:	RADICAL ARTS:  LITERATURE, VISUAL ARTS, THEATER AND CINEMA IN THE AMERICAS-###-0.2667239488614675---CUBAN VISUAL CULTURE-###-0.2800738850964536---PERF. ARTS CRITICISM: ART REVIEWING/CRITICISM-###-0.3092402609623868---MDRN ART:PICASSO-POLLOCK-###-0.2852576791220228---WRITING AND PERFORMANCE-###-0.3092402609623868---WRITING AND PERFORMANCE: ART REVIEWING/CRITICISM-###-0.3092402609623868---
FOUNDATIONS OF MKT ECON:	
ADVANCED LINEAR ALGEBRA:	
THE COMM RESEARCH EXP:	THE ONE HUNDRED DAYS-###-0.33727470548596616---SPECIAL TOPICS IN COMM: THE SOCIAL BRAIN AND COMMUNICATION-###-0.33727470548596616---
PRESENTING THE ARTS: THEATRE MANAGEMENT:	THEATRE,HIST & CULTR II: Romantics, Realists, and Revolutionaries-###-0.3914911254561134---THEATRE, HIST & CULTR II: ROMANTICS, REALISTS, AND REVOLUTIONARIES-###-0.3914911254561134---INTRODUCTION TO THEATRE-###-0.4659465906790567---ADV TPCS IN THEATRE: STEPHEN SONDHEIM-###-0.44658083480049404---PUB PRFM ART: GLOBAL AGE-###-0.4459235871624301---THEATRE,HIST & CULTR II: ROMANTICS, REALISTS, AND REVOLUTIONARIES-###-0.3914911254561134---ICONS IN PERFORMANCE: ACTORS AND OTHERS WHO DEFINE AND SAHPE THE ARTS-###-0.44658083480049404---ACTING & DIRECTING LAB: JAPANESE THEATRE: PRACTICE AND THEORY-###-0.2902851519029349---THEATRE IN PHILADELPHIA-###-0.33504275502558345---CLASSICAL TO THE MIDDLE CLASS-###-0.34039502680080413---ADV TPCS IN THEATRE: ICONS IN PERFORMANCE: ACTORS AND OTHERS WHO DEFINE AND SHAPE THE ARTS-###-0.4459235871624301---From the Classical to the Middle Classes-###-0.34039502680080413---
PHILOSOPHY OF RELIGION:	
MEDIA AND MEMORIES OF THE FUTURE: SOUND AND ENVIRONMENT IN BERLIN:	
MICROBIOLOGY:	SELECTED TOPICS IN MED: INFECTIOUS DISEASES-###-0.3321560232725096---
PASTORALISM & MOBILITY:	
CURATORIAL SEMINAR: MAGIC IN THE MUSEUM:	
EPISTEMOLOGY: KNOWLEDGE AND REALITY:	Social and Political Epistemology-###-0.3012512923533318---TOPICS IN EPISTEMOLOGY-###-0.3012512923533318---ARISTOTLE: ARISTOTLE'S PSYCHOLOGY-###-0.25083141223266214---ARISTOTLE-###-0.25083141223266214---
INTERMEDIATE HIND GRADS:	BEGINNING HINDI-URDU - Part I-###-0.2685571484486112---Beginning Hindi-Urdu - Part I-###-0.30705643871505617---BEGINNING HINDI-URDU II-###-0.2685571484486112---BEG HIN/URD FOR GRADS-###-0.30705643871505617---BEGINNING HINDI & URDU II-###-0.30705643871505617---
INTRO TO ASIAN AMER HIST:	
GOTHIC ARCH: GOLD+STONE:	
ADVANCED ITALIAN I:	INTERMEDIATE ITALIAN II-###-0.3191499925640864---INTERMED ITAL: ACCLLRATD-###-0.28183357006972076---ADVANCED ITALIAN II-###-0.31536911914087973---BUSINESS ITALIAN I-###-0.29113922067644726---INTERMEDIATE ITALIAN I-###-0.3326351108275234---MASTERPIECES OF ITALIAN LITERATURE-###-0.2504643817501687---
SENIOR DESIGN PROJECT:	SEMINAR IN SOCIAL PSYCH: PSYCHOLOGY AND LAW-###-0.458249860495633---SEMINAR IN COG NEUROSCI-###-0.458249860495633---SR DESIGN PROJ II-EE/SSE-###-0.30848535862321175---SEMINAR ABNORMAL PSYCH: GENDER AND PSYCHOPATHOLO-###-0.458249860495633---SEMINAR IN SOCIAL PSYCH: PSYCHOLOGY AND RELIGION-###-0.458249860495633---Critical Debates in Global Human Rights-###-0.4946531456162107---THE NOVEL AND MARRIAGE-###-0.25600922509098933---Race, Science & Society-###-0.6054570865785045---Crime and Punishment:  Hugo's Les Miserables in Context-###-0.34438020478621395---MOD HEB LIT & CULT TRANS: MODERN HEBREW LIT & CULTURE IN TRANSLATION: IMAGE OF HAIFA & OTHER CITIES-###-0.29548991931294727---SEMINAR DEVELOP PSYCH: Psychology of Imagination-###-0.458249860495633---TOPICS IN OPIM-###-0.3181178280524706---SR DESIGN PROJ I-EE/SSE-###-0.29499444013450987---Gangs & Organized Crime-###-0.3569719098402051---GLOBAL HEALTH-###-0.5616939179828555---Anxiety disorders, OCD, and PTSD-###-0.458249860495633---THE FOUNDERS OF ISRAELI LIT: YEHOSHUA, OZ, AMICHAI-###-0.29548991931294727---SEMINAR ABNORMAL PSYCH:  Mental Illness and the Media-###-0.458249860495633---EDUCATIONAL INEQUALITY-###-0.6054570865785045---Neuroscience of Human Motivation and Behavior-###-0.458249860495633---MOD HEB LIT & CULT TRANS: FANTASY DREAMS & MADNESS-###-0.29548991931294727---SEMINAR ABNORMAL PSYCH: Current Controversies in Clinical Psychology-###-0.458249860495633---MECH ENG DESIGN PROJECTS-###-0.2596247884278276---Sexuality, Terrorism, and Human Rights-###-0.4946531456162107---SEMINAR ABNORMAL PSYCH-###-0.458249860495633---BEGINNING SITAR II-###-0.28256725265484---SENIOR SEMINAR-###-0.314432548271916---SOCIOLOGY OF GLOBAL HEALTH-###-0.5616939179828555---
CULTRS OF SUSTAINABILITY:	
AMER SIGN LANGUAGE V:	DEAF CULTURE-###-0.3796664217055898---DEAF LIT/PERF/ART/FILM-###-0.44408554601578415---AMER SIGN LANGUAGE II-###-0.46131902660295715---ASL/DEAF STUDIES - ABCS-###-0.32714646076624054---AMERICAN SIGN LANGUAGE I-###-0.5398650408344657---AMER SIGN LANGUAGE IV-###-0.4971705138376269---AMER SIGN LANGUAGE III-###-0.4377333520562167---
INTRO TO ART IN S. ASIA:	Introduction to Modern India-###-0.34314274798766714---INTRO TO MODERN INDIA-###-0.34314274798766714---
NATIVE AMERICAN LIT:	A History of Films By and About Native Americans-###-0.3456885974855517---A HISTORY OF FILMS BY AND ABOUT NATIVE AMERICANS-###-0.2631632802139825---
TWO KOREAS: POLIT DIVISN: Two Koreas: The Politics of Division:	
INTRO AFRICANA STUDIES:	AFRICAN RELIGIONS-###-0.2543241306335104---RELIGIONS OF AFRICANA DIASPORA-###-0.3817999772629515---The History of Women and Men of African Descent at the University of Penn-###-0.2875968631126926---RELIGIONS OF THE AFRICAN DIASPORA-###-0.3817999772629515---TPCS IN AFRICANA STUDIES: The History of Women and Men of African Descent at the University of Penn-###-0.2875968631126926---African Immigrant Lives in West Phila.-###-0.3103675188944649---LITERATURE AND ART IN AFRICA AND THE AFRICAN DIASPORA-###-0.40501352047435474---
LDERSHP & COMMUN IN GRPS: LECTURE:	
ITALIAN HIST ON SCREEN:	
SENIOR HONORS:	RESEARCH SEMINAR-###-0.29698894337134785---URBAN STUDIES HONORS-###-0.3374689740999247---SENIOR HONORS THESIS-###-0.2690735185098429---SENIOR HONORS SEM PSYCH-###-0.601740936779177---JUNIOR HONORS IN HISTORY-###-0.6032828157852247---STSC SEMINAR-###-0.29698894337134785---SENIOR THESIS-###-0.2537270701370869---HONORS THESIS WORKSHOP-###-0.34463873785370236---LIVING DELIBERATELY-###-0.284176308239112---COMPS CAPSTONE THESIS-###-0.253214166082851---LIVING DELIBERATELY: MONKS, SAINTS & THE CONTEMPLATIVE LIFE-###-0.284176308239112---THESIS WORKSHOP I-###-0.34463873785370236---HONORS & CAPSTONE THESIS-###-0.305019932337914---
MANAGEMENT OF TECHNOLOGY:	TECH & INNOV STRATEGY: Technology and Innovation Strategy-###-0.9201683015205159---TECHNOLOGY STRATEGY-###-0.805047839888457---
Special Topics: Consumer Neuroscience:	Special Topics - Consumer Neuroscience-###-0.6117374320481842---
TOPICS IN LITERATURE: EMOTIONS:	COMP SELECT FORMS-###-0.3300735263603228---
DYN SYS FOR ENG&BIOL APP:	
INTERNET & WEB SYSTEMS:	
STUDY OF A GENRE: GOTHIC:	LITERARY GENRES: CHICK LIT-###-0.378736240898144---JANE AUSTEN & ADAPTATION-###-0.3027409181061604---STUDY OF A THEME: VIETNAM WAR IN LIT/FILM-###-0.9292488644704813---LITERARY GENRES: TRAGEDY-###-0.378736240898144---STUDY OF AN AUTHOR: SHAKESPEARE-###-0.3027409181061604---STUDY OF AN AUTHOR: TONI MORRISON-###-0.3050189875470122---STUDY OF A PERIOD: THE TWENTIETH CENTURY-###-0.43265177729615445---STUDY OF AN AUTHOR: INTRO TO SHAKESPEARE-###-0.3050189875470122---STUDY OF A THEME: TALES OF STUDY ABROAD-###-0.9292488644704813---STUDY OF AN AUTHOR: JANE AUSTEN & ADAPTION-###-0.3050189875470121---Chaucer: Medieval Contexts and Modern Adaptations-###-0.3027409181061604---LITERARY GENRES: COMICS & GRAPHIC NOVELS-###-0.378736240898144---STUDY OF A THEME: FROM THE UNCANNY TO THE HORROR:  LITERATURE, FILM AND PSYCHOANALYSIS-###-0.9292488644704813---
MINERALOGY:	
