TRUTH, POLITICS, ETHICS: ANTHROPOLOGICAL SEMINAR:	TOPICS IN ETHICS 0.15585828721390835,INTRO CULTURAL ANTHRO 0.10696044756418209,INTRO TO MED ANTHRO 0.12037345827576165,INTRO TO MED ANTHRO 0.12037345827576165,INTRO PALEOPATHOLOGY 0.1029913860463615,ETHICS IN THE PROFESSION: BUSINESS ETHICS 0.11203508042079884,
CONTEMPOR FICT/FILM-JPAN:	WORLD FILM HIST '45-PRES 0.10535177570446444,Perspectives on International Cinema (Cannes Film Festival) 0.13939368461907609,ADVANCED PROFICIENCY II 0.13950219330662383,ADVANCED PROFICIENCY II 0.13950219330662383,FILM SOUND: HISTORY, AESTHETICS & SUBVERSION 0.11240816902707862,JAPANESE/PROFESSIONS I 0.18128777162846563,JAPANESE THEATER 0.13122581924610371,JAPANESE THEATER 0.13122581924610371,SUSHI&RAMEN:GLOBAL FOOD 0.13393807473146419,CINEMA PRODUCTION 0.11511042949545879,EAST ASIAN GARDENS 0.10434397808345562,WORLD FILM HIST TO 1945 0.26236624662582564,WORLD FILM HIST '45-PRES 0.10535177570446444,JAPANESE-ENGLISH TRANSL 0.15188676175643273,WORLD FILM HIST TO 1945 0.26236624662582564,INTRO AMER/BRIT FLM/MED: HOLLYWOOD FILM INDUSTRY 0.135721650642028,CINEMA AND MEDIA: GLOBAL FILM THEORY 0.15661620393748787,WORLD FILM HIST TO 1945 0.26236624662582564,JAPANESE POPULAR CULTURE 0.11934052992288723,JAPANESE/PROFESSIONS II 0.18128777162846563,
PERSONALITY & INDIV DIFF:	INTRO TO EXP PSYCH 0.2678633993329448,SOCIOLOGY OF GENDER 0.12921385619722237,PHILOSOPHY OF MIND 0.13297023522061543,WHAT IS MEANING? 0.10825713337414752,DEVELOPMENTAL PSYCHOLOGY 0.1367037913648477,SOCIOLOGY OF GENDER 0.13021612289679163,EYE, MIND AND IMAGE 0.10159945273716411,WRITING SEMINAR IN THAR: ACTING AND THE BRAIN 0.12541765424516726,
AFRO AMER HIST 1876-PRES:	INTRO TO AFRO-AMER POL 0.10756055669364595,AFRICA SINCE 1800 0.30248563387528316,AFR HIST BEFORE 1800 0.14638233949346904,AFRO AMER HIST 0.40175458197468417,INTRO HIST-COMP LING 0.15625254327944796,TPCS AFRICAN-AMER LIT: AFRICAN AMERICAN MODERNI 0.14159602930132767,INTRO HIST-COMP LING 0.15625254327944796,AFRICA SINCE 1800 0.30248563387528316,
SCRIMMAGE OVER SCRIPTURE: Bible in the Cultures of Jews, Christians and Muslims:	INTRODUCTION TO ISLAM 0.10742745954468298,The Latin Text: A digital critical edition of the Bellum Alexandrinum 0.10616758856371113,INTRODUCTION TO ISLAM 0.10742745954468298,MUSLIMS, CHRISTIANS & JEWS: HISTORY & MEMORY IN SPAIN 0.10480064470796396,
FNCE IN MIDDLE EAST AND NORTH AFRICA:	MIGRATION & MIDDLE EAST 0.15565779989849457,NATIONALISM IN MID EAST 0.1131237967143488,MACROECONOMICS (HALF CU) 0.10728802996029177,MID EAST WATER IN HIST 0.1165546386577141,ACCELERATED CORP FINANCE 0.12884792182527172,N.AFRICA:HIST,CULTR,SOC 0.1536385907436183,CAPITAL MARKETS 0.1478982391886256,MGMT&ECONOFPHARMA&BIOTEC 0.11021303584931506,MGMT&ECONOFPHARMA,BIOTEC 0.1435901704454371,AMERICAN BUSINESS HISTRY: Value Creation and Value Capture in American Business History 0.10953754028137908,
INTRODUCTORY STATISTICS:	DATA ANALY & STAT COMP: Data Analytics and Statistical Computing 0.24203556406603038,INTRODUCTORY STATISTICS 0.13828671387984695,DATA ANALY & STAT COMP: Data Analytics and Statistical Computing 0.24203556406603038,STATISTICAL MECHANICS 0.12325136214822432,QUANTITATIVE METHODS I 0.14495093163959671,ENGR APPLIC OF STATISTIC 0.37727370390217774,DISCRETE PROB & STAT INF 0.17584723309703637,STATISTICAL METHODOLOGY 0.12267198217692538,INTRO TO PROB & STAT 0.11346395584102895,PROB&STATS FOR BIOT 0.23176552971185602,STATISTICAL INFERENCE 0.12351312175697653,BIOL DATA SCIENCE I 0.20631196670437876,ESTIMATION & DETEC THRY 0.10361783104975518,APPLIED ECONOMETRICS I 0.10608756278464614,INTRO BUSINESS STAT 0.3221115242462455,DES&DEV WEB-BASED PROD: DESIGN & DEVELOPMENT OF WEB-BASED PRODUCTS AND SERVICES 0.10293196071984462,SOCIAL STATISTICS 0.1454615155835084,ANAL METH ECON, LAW MED 0.12805948309851617,INTRODUCTION TO QUANTITATIVE METHODS FOR POLICY ANALYSIS 0.21140138775524348,ENGR APPLIC OF STATISTIC 0.37727370390217774,INTRO TO PROB & STAT 0.11346395584102895,STAT FOR ECONOMISTS 0.3190737147995772,APPLIED ECONOMETRICS II 0.15904898404680026,INTRO BUSINESS STAT 0.3221115242462455,QUANTITATIVE METHODS I 0.14495093163959671,
INTRO TO BUSINESS ECONOM:	LEADERSHIP DEVELOPMENT IN HEALTHCARE 0.12152657023251408,HEALTH OF POPULATIONS 0.10854662460661545,MACROECN & GLOBAL ECONOM 0.11550360451643844,ELEC SYSTEMS & MARKETS 0.12076540158296656,URBAN FISCAL POLICY 0.1307873066542199,GLOBAL MONETARY AND FINANCIAL STABILITY POLICY 0.10269759571789411,MACROECN & GLOBAL ECONOM 0.11550360451643844,HEALTH CARE SYSTEMS 0.1414641468605309,MACROECN & GLOBAL ECONOM 0.11550360451643844,FOUNDA OF PUBLIC HEALTH 0.14217097344288632,HEALTH CARE SYSTEMS 0.1414641468605309,ASP-GLOBAL MONETARY AND FINANCIAL STABILITY POLICY 0.10338834500870098,COMP POL. WELFARE STATE 0.1294273093947647,INTRO TO AMER POLITICS 0.1291611852848311,POLITICAL ECONOMY 0.12274026780915669,URBAN HOUSING & COMMUNITY DEVELOPMENT POLICY IN AMERICA 0.11676279263945596,MACROECN & GLOBAL ECONOM 0.11550360451643844,PUBLIC POLICY AND THE NATION'S HEALTH 0.16171454565435361,
RESEARCH EXP PERCEPTION:	GRAPHIC DESIGN WITH CREATIVE TECHNOLOGIES 0.11559963289300751,EXP METHOD FOR LINGUISTS 0.1345442693462601,THE ANTHROPOLOGY OF NOSTALGIA AND MEMORY 0.1856845735067839,LANGUAGE OF DESIGN 0.1155780533834669,ART, DESIGN AND DIGITAL CULTURE 0.13274951245441857,COGNITIVE NEUROSCIENCE 0.12299465214129163,COMPUTER ARCHITECTURE 0.1429167385892245,FACING AMERICA 0.11811191783248196,ART, DESIGN AND DIGITAL CULTURE 0.13274951245441857,HUMAN MEMORY 0.29479689804580606,ART, DESIGN AND DIGITAL CULTURE 0.13274951245441857,VISUAL NARRATIVE 0.15458233682600653,
CORPORATE FINANCE:	FIN STATEMENT & DIS ANA 0.14349784104523197,CAPITAL MARKETS 0.22910315673465406,ACCELERATED CORP FINANCE 0.40500964926743305,POL & SOC ENVIRON OF MM 0.1178017637534206,FNCE OF BUYOUTS & ACQS 0.14281092363203096,CONSUMER BEHAVIOR 0.10003648529659429,CORPORATE FNCE (HALF CU) 0.793436190288193,ENGINEERING ECONOMICS 0.11059817272073984,CORP DEV: MERG & ACQUIS 0.10131063383683833,MERGERS & ACQUISITIONS 0.10205681758577584,PRINCIPLES OF ACCOUNTING 0.1366318530854752,URBAN HOUSING & COMMUNITY DEVELOPMENT POLICY IN AMERICA 0.11109727589231012,GAME THEORY 0.10965723548838087,VENT CAP & FNCE INNOVAT 0.2939673898966277,PRINCIPLES OF ACCOUNTING 0.1366318530854752,MACROECN & GLOBAL ECONOM 0.12082507875049342,REAL ESTATE INVESTMENTS 0.11546670416841151,FINANCIAL ECONOMICS 0.3076870256428682,Nonprofit Financial Management 0.3452465153377565,REAL ESTATE INVESTMENTS 0.11910476746176779,MACROECONOMICS (HALF CU) 0.1673622172233153,FINANCIAL DERIVATIVES 0.1425810272646861,INTERNATL CORP FINANCE 0.1176185889201434,RISK MANAGEMENT 0.10846111907841426,VEN CAPITAL & ENT MGMT 0.17202494535458837,INTERNATIONAL BANKING 0.11814970336219463,ENGINEERING ECONOMICS 0.11059817272073984,MACROECN & GLOBAL ECONOM 0.12082507875049342,CAPITAL MARKETS 0.16675079263226228,CORPORATE VALUATION 0.1584213692661559,FNCE OF BUYOUTS & ACQS 0.14281092363203096,ENERGY FINANCE 0.1888364613059576,MACROECN & GLOBAL ECONOM 0.12082507875049342,ADV BUSINESS CHINESE II 0.17113569244630855,CORPORATE VALUATION 0.22373432679252722,ENERGY FINANCE 0.1888364613059576,MONETARY ECON & GLOB ECO 0.10807133105982313,REAL ESTATE INVESTMENTS 0.11546670416841151,ENGINEERING ECONOMICS 0.11059817272073984,FINANCIAL DERIVATIVES 0.20341503104267955,FIN AND MNGL ACCT 0.13661931246570758,LAW OF CORP MGMT & FNCE 0.17142784320824508,SECURITIES REGULATION 0.13394121750854673,MACROECN & GLOBAL ECONOM 0.12082507875049342,TAXES AND BUS STRATEGY 0.11942439432505396,ASP-GLOBAL MONETARY AND FINANCIAL STABILITY POLICY 0.10005551223506493,ADVANCED CORP FINANCE 0.33164341249049933,VENTURE CAP & ENT MGMT 0.11553367854778189,ADVANCED CORP FINANCE 0.33452874724580806,
PAINTING PRACTICES:	GRAPHIC DESIGN WITH CREATIVE TECHNOLOGIES 0.10702909397700901,DRAWING I 0.2238019531812202,DIGITAL PHOTOGRAPHY 0.16352355686615022,ADVANCED DIGITAL PHOTO 0.12954990821403056,COMPUTER ANIMATION 0.13143050782741253,FIGURE PAINTING 0.2751631714209983,RENAISSANCE-CONTEMPORARY 0.11039449531604752,ADVANCED DIGITAL PHOTO 0.12954990821403056,DIGITAL PHOTOGRAPHY 0.16352355686615022,COMPUTER ANIMATION 0.13143050782741253,DRAWING I 0.2238019531812202,DRAWING INVESTIGATIONS 0.22310466271596585,DRAWING I 0.2238019531812202,DRAWING I 0.2238019531812202,EYE, MIND AND IMAGE 0.12333580257699285,FIGURE PAINTING 0.2751631714209983,RENAISSANCE-CONTEMPORARY 0.11039449531604752,WOMANISM AND IDENTITY POLITICS IN THE REALM OF HIP-HOP 0.11524149207828482,PHIL & VISUAL PERCEPTION 0.18604669369204954,
INTRM MODERN HEBREW III:	INTERMED BIBL HEBREW I: INTRO BIBL HEBREW PROSE 0.13619229987551432,ELEM MODERN HEBREW II 0.6421007867313334,ELEM BIBLICAL HEBREW II 0.21684402731239852,INTERMED PORTUGUESE II 0.14975063045260942,INTR MODERN HEBREW IV 0.6733770399221555,ELEM MODERN HEBREW I 0.5100692114168127,ACCEL INTERMD PORTUGUESE 0.12820874690024434,ELEM MODERN HEBREW II 0.6421007867313334,ACCEL INTERMD PORTUGUESE 0.1286523411951576,ELEM MODERN HEBREW I 0.5100692114168127,ELEM BIBLICAL HEBREW II 0.21684402731239852,INTR MODERN HEBREW IV 0.6733770399221555,INTRO TO THE BIBLE 0.10458235886761635,ELEM MODERN HEBREW II 0.6421007867313334,INTERMED BIBL HEBREW I: INTRO BIBL HEBREW PROSE 0.13619229987551432,ELEM MODERN HEBREW I 0.5100692114168127,ELEM MODERN HEBREW II 0.6421007867313334,INTERMED BIBL HEBREW I: INTRO BIBL HEBREW PROSE 0.13619229987551432,INTR MODERN HEBREW IV 0.6733770399221555,RDGS MOD CHINESE II:LIT 0.10458652890446579,SEM MODERN HEBREW LIT: GIANTS OF HEBREW LIT 0.28118602915136953,APPROACHES TO GENRE: THE END IS COMING: APOCALYPSE IN FILM AND LITERATURE 0.10756199033638189,
RESEARCH EXP SOCIAL PSYC:	SEMINAR: CULTURAL PSYCHOLOGY 0.13870363494475882,FUNDMTLS OF EPIDEMIOLOGY 0.11621173153617781,SENIOR PROJECT 0.15631021472092835,DOING RESEARCH: DOING RESEARCH: QUALITATIVE METHODS AND RESEARCH DESIGN 0.1218059781615437,STATISTICAL INFERENCE 0.12469397235418463,INTRODUCTION TO QUANTITATIVE METHODS FOR POLICY ANALYSIS 0.12076744198691777,LABORATORY 0.14985763090451254,SEMINAR: CULTURAL PSYCHOLOGY 0.13870363494475882,SENIOR PROJECT 0.15631021472092835,APPLIED REG & ANALY VAR 0.13804071792600164,
RESEARCH WORKSHOP:	PRODUCT DESIGN 0.1252846456785796,TECH COMM & ACAD WRITING 0.2029097408612143,DESIGN PROCESSES 0.11180213904496711,TECH COMM & ACAD WRITING 0.2029097408612143,DRUG DELIVERY 0.18075092044907654,PRODUCT DESIGN 0.1252846456785796,Sexuality, Terrorism, and Human Rights 0.1341948312512345,TECH COMM & ACAD WRITING 0.2029097408612143,TECH COMM & ACAD WRITING 0.2029097408612143,DRUG DELIVERY 0.16290356079487722,
INTRO TO MED ANTHRO:	TRUTH, POLITICS, ETHICS: ANTHROPOLOGICAL SEMINAR 0.12037345827576165,CROSS CULTRL APPR HEALTH 0.1191189583641841,INTRO CULTURAL ANTHRO 0.11288087393327056,INTRO TO ARCHAEOLOGY 0.11252185974792518,PEDIATRIC NURSING 0.1092540715372463,INTRO ARCHAEOLOGY 0.11479400981599773,BIOENG CASE STUDIES 0.11950461059440137,SPAN FOR MED PROF INT I 0.10794536735854206,Globalization and its Historical Significance 0.10343407439610819,RITUAL,MEMORY,PERFORMANC 0.11908284079043112,GLOBAL HLTH: ANTH PERSP 0.10410696088916668,ARCHAEOLOGY: WINDOW TO THE HUMAN PAST 0.11479400981599773,INTRO ARCHAEOLOGY: LECTURE 0.11252185974792518,NURSING OF YOUNG AND MIDDLE AGED ADULTS 0.11931117620679284,INTRO PALEOPATHOLOGY 0.12970146721208614,INTRODUCTION ARCHAEOLOGY 0.11252185974792518,PEDIATRIC NURSING 0.1092540715372463,NURSING OF YOUNG AND MIDDLE AGED ADULTS 0.11931117620679284,INTRO TO ARCHAEOLOGY: LECTURE 0.11252185974792518,PEDIATRIC NURSING 0.1092540715372463,CONTEMPORARY PHIL: Beyond Biology:  Enhancing the human mind through technology 0.1357306717660763,
ENGINEERING ETHICS:	INT'L BUSINESS ETHICS 0.15377193347474213,PROFESSIONAL ISSUES IN MIDWIFERY 0.18211205919834164,LEADERSHIP IN THE COMPLEX HEALTHCARE SYSTEM 0.11048163938158459,ENGINEERING ECONOMICS 0.10953733909617601,ARCHITECTURE IN THE ANTHROPOCENE 0.10670776725297813,ENGINEERING ECONOMICS 0.10953733909617601,ENGINEERING ECONOMICS 0.10953733909617601,ETHICS 0.10256094160112987,SOFTWARE ENGINEERING 0.11144681673911136,BUSINESS ETHICS 0.115998874384634,ETHICS 0.10256094160112987,LEADERSHIP IN THE COMPLEX HEALTHCARE SYSTEM 0.11048163938158459,
20TH C CHINESE LIT/FILM:	CHINAS DOMESTIC POLITICS 0.1612177803093691,RDGS MODRN CHINESE DOCUM 0.11908731298113141,CHINESE FOREIGN POLICY 0.1149200021745423,GENDER & RELIG IN CHINA 0.14259722691280236,INTRODUCTION TO AFRICANA STUDIES 0.10436971041235027,IRAN CINEMA:GEND/POL/REL 0.11886231995704993,20TH C CHINESE LIT/FILM 0.979072029718003,THE ARTS OF CHINA 0.18021433677568854,NATIONALISM IN MID EAST 0.10580483504880746,IRAN CINEMA:GEND/POL/REL 0.11886231995704993,IRAN CINEMA:GEND/POL/REL 0.11886231995704993,CHINESE CLTURE & SOCIETY 0.10013816310368387,THE ARTS OF CHINA 0.18021433677568854,20TH C CHINESE LIT/FILM 0.979072029718003,IRAN CINEMA:GEND/POL/REL 0.11886231995704993,BEG RDG/WRTG CHINESE I 0.10190373463094224,ASIAN-AMERICAN LIT 0.1132376673431986,RDGS MOD CHINESE II:LIT 0.1598788059733706,HIST OF SEXUALITY IN US 0.11853898191509014,US AND CHINA 1912-2012 0.1904279880978689,HIST OF SEXUALITY IN US 0.11853898191509014,
JAPANESE/PROFESSIONS I:	1ST YR CLASSICAL CHIN I 0.1130787866000441,CONTEMPOR FICT/FILM-JPAN 0.18128777162846563,INTERMEDIATE JAPANESE IV 0.17095947024040414,INTERMEDIATE JAPANESE II 0.3567962764756688,ADVANCED PROFICIENCY II 0.3946660331370551,ADVANCED PROFICIENCY II 0.3946660331370551,CONTEMPOR FICT/FILM-JPAN 0.18128777162846563,INTERMED PORTUGUESE II 0.10837719333688407,JAPANESE THEATER 0.11517211961166965,JAPANESE THEATER 0.11517211961166965,SUSHI&RAMEN:GLOBAL FOOD 0.3591975635721837,INTERMED JAPANESE III 0.2777709964216079,INTERMED JAPANESE III 0.302855052574112,1ST YR CLASSICAL CHIN I 0.1130787866000441,ACCEL INTERMD PORTUGUESE 0.10261328171179054,INTERMEDIATE JAPANESE I 0.30800948159338887,EAST ASIAN GARDENS 0.14677056159835672,JAPANESE-ENGLISH TRANSL 0.19627346176380486,RDG CLASSICAL JAPANESE I 0.2675341317374426,THE POLITICS OF SHINTO 0.216991630836039,JAPANESE POPULAR CULTURE 0.14199570453124488,1ST YR CLASSICAL CHIN I 0.1130787866000441,JAPANESE/PROFESSIONS II 0.9999999999999999,
SMELL AND TASTE:	GEOCHEMISTRY 0.11215657618097324,CHEMICAL REACTOR DESIGN 0.10659315431253799,BIOENGINEERING SYSTEMS 0.12705065477987615,LABORATORY 0.10443785649507992,ECOLOGY: INDIV TO ECOSYS 0.10068917795777516,LECTURE 0.14562449625857068,LECTURE 0.14562449625857068,GENERAL CHEMISTRY II 0.10721264264989515,INTRO TO BRAIN & BEHAV 0.12668048312866417,AQUEOUS GEOCHEMISTRY 0.1613437255616184,PHYSIOLOGY MOTIVATED BEH 0.10224561107055344,MATERIAL&ENERGY BALANCES 0.1400010211559926,INTRO TO BRAIN & BEHAV 0.12668048312866417,COMP SCI/ENRGY&CHEM TRAN 0.16528873243953782,BIOENGINEERING SYSTEMS 0.12705065477987615,GENERAL CHEMISTRY I 0.10418265948997013,INTRO TO BRAIN & BEHAV 0.12668048312866417,APPLIED SCIENCES RELATED TO ANESTHESIA 0.11402099724280823,
INTRODUCTION TO AFRICA:	REAL ESTATE ENTREPRENEUR 0.10182632130287711,MIGRATION & MIDDLE EAST 0.10430475737306047,The US and Human Rights: Policies and Practices 0.11459310030549502,FACES OF ISLAM IN AFRICA 0.1176803519916312,INTRODUCTION TO AFRICANA STUDIES 0.12166015492384058,EVOLUTIONARY ECOLOGY 0.10355445750856201,CONTEMP ISSUES AFR SOCIE 0.10038143232782556,HIST FOREIGN AID IN AFRC 0.10867069805709736,Contemporary Issues in African Society 0.10038143232782556,N.AFRICA:HIST,CULTR,SOC 0.15067124905374857,BIOCHEMISTRY RESEARCH 0.10922064948114278,NURSING IN THE COMMUNITY 0.1406830676563456,LAW IN AFRICA 0.11459310030549502,
BEGINNING JAPANESE III:	INTERMEDIATE JAPANESE I 0.316756943796878,INTERMEDIATE JAPANESE IV 0.23764618393996295,INTERMEDIATE JAPANESE II 0.26522689419404655,BEGNNING JAPANESE IV 0.3930036660903533,INTERMED JAPANESE III 0.3105573671000275,INTERMED JAPANESE III 0.1900814093806523,BEGNNING JAPANESE IV 0.3930036660903533,BEGNNING JAPANESE IV 0.3930036660903533,
TYPOGRAPHY:	
GREEK VASE PAINTING:	PERICLEAN ATHENS 0.11961639313223076,INTERMED GREEK: POETRY 0.15506897580648119,ANCIENT SEAFARING 0.12452148201426919,CLASSICAL TRADITIONS 0.10562488343531927,INTERMED MODERN GREEK I 0.10543298397379046,ANCIENT GREECE 0.10155194697558338,Petrography of Cultural Materials 0.11406879510231481,PREHISTORY - RENAISSANCE: INTRO TO WESTERN ART 0.11842837731409778,GREEK ART AND ARTIFACT 0.17041985777033128,Petrography of Cultural Materials 0.11406879510231481,HISTORICAL LINGUISTICS 0.1704432388770458,
STAT COMPUTING WITH R: Statistical Computing with R:	DATA ANALY & STAT COMP: Data Analytics and Statistical Computing 0.17153149279847918,DATA ANALY & STAT COMP: Data Analytics and Statistical Computing 0.17153149279847918,DATA SCIENCE 0.1569515784468446,PROGRAMMING PARADIGMS 0.12812024031998556,
ADULTERY NOVEL:	ADVANCED RUSS CONV/COMP 0.10412674213895966,TPCS: CLASSICISM & LIT: Classical Epic and Medieval Romance 0.10969718923159777,PORTRAITS RUSS SOCIETY 0.10894518182263951,
INTEGRATED HUMAN ANATOMY, PHYSIOLOGY & PHYSICAL ASSESSMENT I:	LEADERSHIP IN THE COMPLEX HEALTHCARE SYSTEM 0.10061938441728281,CLINICAL MANAGEMENT OF PRIMARY CARE WITH YOUNG FAMILIES 0.10125046992899148,AD PRIN OF NANS:SURGERY: Advanced Principles of Nurse Anesthesia Practice: Specialty Surgery 0.1014466644268928,BIOLOGY OF HUMAN DISEASE 0.12458095746239427,ADVANCED DEVELOPMENTAL PHYSIOLOGY AND PATHOPHYSIOLOGY 0.20922951647589083,NURSING IN THE COMMUNITY 0.10220360505906358,LEADERSHIP IN THE COMPLEX HEALTHCARE SYSTEM 0.10061938441728281,CONTEMPORARY PHIL: Beyond Biology:  Enhancing the human mind through technology 0.14791464603549537,
PROBABILITY:	INTRO BUSINESS STAT 0.1270145793814425,TOPOLOGY 0.15826913950465546,STOCHASTIC PROCESSES 0.19772382356871004,DISCRETE PROB & STAT INF 0.14673866073920683,STOCHASTIC PROCESSES 0.15107971260610542,DISCRETE MATHEMATICS I 0.12143020378548078,STOCHASTIC PROCESSES 0.19772382356871004,INTRO TO PROB & STAT 0.36374481116402047,ADVANCED ANALYSIS 0.10248119626734496,INTRO TO PROB & STAT 0.36374481116402047,PROB&STATS FOR BIOT 0.23734336252141347,NONLINEAR DYNAM & CHAOS 0.13855956617483398,INTRO BUSINESS STAT 0.1270145793814425,BIOL DATA SCIENCE I 0.22066154615062994,ACTUARIAL STATISTICS 0.23427609685496487,COMB ANAL & GRAPH THRY 0.17795945852179038,
FILM IN RESIDENCE GREGORY COLLEGE HOUSE:	
ELEM MODERN HEBREW I:	INTRM MODERN HEBREW III 0.5100692114168127,INTRM MODERN HEBREW III 0.5100692114168127,INTERMED BIBL HEBREW I: INTRO BIBL HEBREW PROSE 0.13509916769653438,ELEM MODERN HEBREW II 0.47848961343586355,ELEM BIBLICAL HEBREW II 0.26954195388776003,INTRM MODERN HEBREW III 0.5100692114168127,INTR MODERN HEBREW IV 0.38120321543385227,ELEM MODERN HEBREW II 0.47848961343586355,ELEM BIBLICAL HEBREW II 0.26954195388776003,INTR MODERN HEBREW IV 0.38120321543385227,INTRO TO THE BIBLE 0.14346278449511835,ELEM MODERN HEBREW II 0.47848961343586355,INTRM MODERN HEBREW III 0.5100692114168127,INTERMED BIBL HEBREW I: INTRO BIBL HEBREW PROSE 0.13509916769653438,ELEM MODERN HEBREW II 0.47848961343586355,INTERMED MODERN GREEK I 0.1475646289387277,INTERMED BIBL HEBREW I: INTRO BIBL HEBREW PROSE 0.13509916769653438,INTR MODERN HEBREW IV 0.38120321543385227,SEM MODERN HEBREW LIT: GIANTS OF HEBREW LIT 0.33122130337404815,
GRAPHIC DESIGN PRACTICUM:	REAL ESTATE DEVELOPMENT 0.1074595397748219,GRAPHIC DESIGN WITH CREATIVE TECHNOLOGIES 0.2615545552911201,REAL ESTATE DEVELOPMENT 0.1074595397748219,MEDICAL DEVICES 0.14711693474471396,PROJECT MANAGEMENT 0.10315485857120515,DESIGN FUNDAMENTALS I 0.11794542193796227,STRATGIC MKTG SIMULATION 0.11146088606432321,ART OF THE WEB 0.14982726132447952,INTEGRATIVE DESIGN STUDIO: BIOLOGICAL DESIGN 0.15114903010851405,ARCHITECTURE IN THE ANTHROPOCENE 0.10866699549915271,INTRO TO REAL ESTATE 0.10857230472462434,REAL ESTATE LAW 0.11230520518502776,ADVANCED DESIGN 0.1326194859039206,INTRO LIGHT,SET,COSTUME 0.14712498502764174,REAL ESTATE DEVELOPMENT 0.1074595397748219,INTEG COMP-AIDED DESIGN 0.13106875148421823,INTRO LIGHT,SET,COSTUME 0.14712498502764174,PRODUCT DESIGN 0.13263989634744255,COMPUTER ANIMATION 0.10977096738682306,DESIGN PROCESSES 0.2456532478160104,REAL ESTATE INVESTMENTS 0.10167507433797818,GRAPHIC DESIGN AND TIME TRAVEL 0.1812634946649268,ART OF THE WEB 0.14982726132447952,COMPUTER ANIMATION 0.10977096738682306,DESIGN FOR MANUF 0.1287252581840065,LEADING NONPROFITS 0.10108052403297105,SENIOR DESIGN PROJECT 0.11061424243334517,REAL ESTATE ENTREPRENEUR 0.11522269534061759,DESIGN FUNDAMENTALS I 0.11794542193796227,MEDICAL DEVICES 0.14711693474471396,PRODUCT DESIGN 0.13263989634744255,ART OF THE WEB 0.14982726132447952,DIG INTEG CIRC&VLSI-FUND 0.10633988002555193,Health, Sustainability & Built Environment Design 0.11716256407540974,ADVANCED PROJECTS IN PRINTMAKING 0.16405711212976132,
VENTURE CAP & ENT MGMT:	REAL ESTATE INVESTMENTS 0.11227308742408362,VENT CAP & FNCE INNOVAT 0.31506495902391574,ENTREPRENEURSHIP 0.3020409727740967,ENG ENTREPRENEURSHIP I 0.13725733148527858,ACCELERATED CORP FINANCE 0.1172171918868603,CORPORATE FNCE (HALF CU) 0.10726389131239225,ENG ENTREPRENEURSHIP I 0.13725733148527858,ENG ENTREPRENEURSHIP I 0.13725733148527858,VENTURE CAPITAL& ENT MG: Practices & Institutions of Silicon Valley 0.22460608434244805,CORPORATE FINANCE 0.11553367854778189,ENG ENTREPRENEURSHIP II 0.1580799787929012,REAL ESTATE INVESTMENTS 0.11227308742408362,ENG ENTREPRENEURSHIP I 0.13725733148527858,ENTREPRENEURSHIP 0.28524797391281637,REAL ESTATE INVESTMENTS 0.11581052794540998,ENTREPRENEURSHIP 0.2208331637678005,ENTREPRENEURSHIP 0.28524797391281637,CORPORATE FINANCE 0.11553367854778189,VEN CAPITAL & ENT MGMT 0.46092671615772357,
RISE OF IMAGE CULTURE:	TOPICS IN AESTHETICS: WALTER BENJAMIN 0.11131820894993898,WHAT IS AN IMAGE? 0.13548320182466164,
ORGANIC CHEMISTRY I:	PRINCIPLES OF ORG CHEM: Principles of Organic Chemistry with applications in Biomedical sciences 0.17330121303974902,GEOCHEMISTRY 0.19946374634610742,INORGANIC CHEMISTRY I 0.16745857692479765,LECTURE 0.28885311901383776,ORGANIC REACTIONS 0.13588229338923904,GENERAL CHEMISTRY II 0.23744887380104676,INTRO BIOLOGY A 0.10354330349386538,BIOCHEMISTRY 0.11935383392707971,INTRO BIOLOGY A 0.10354330349386538,NANO-SCALE MATERIALS LAB 0.11434873015356077,GENERAL CHEMISTRY I 0.27842736388633743,ADV TPC IN PHYS/CHEM BE 0.1609451602891591,INTRO BIOLOGY A 0.10354330349386538,INTRODUCTORY CHEM I 0.2360985925130025,
SEMINAR: CULTURAL PSYCHOLOGY:	FOUNDA OF PUBLIC HEALTH 0.10675041546708057,RESEARCH EXP SOCIAL PSYC 0.13870363494475882,INTRO COGNITIVE SCIENCE 0.10414009735930219,SURVEY OF ETHICAL THEORY 0.12714701542777276,INTRO COGNITIVE SCIENCE 0.10414009735930219,INTRO COGNITIVE SCIENCE 0.10414009735930219,CHILD AND ADOLESCENT MENTAL HEALTH 0.10288591705872105,
